iter	Logloss
0	0.6510072115
1	0.6079185804
2	0.5666196364
3	0.5296367491
4	0.5013680024
5	0.4686897485
6	0.4459495995
7	0.4194306862
8	0.3943704039
9	0.3701504082
10	0.3436565535
11	0.3254349
12	0.3083049454
13	0.2930780909
14	0.280063451
15	0.2672821578
16	0.2548667944
17	0.2453966293
18	0.23272215
19	0.2232320804
20	0.2177105395
21	0.2076248005
22	0.1983346231
23	0.189142763
24	0.1814964873
25	0.1750260332
26	0.1696299515
27	0.1626997365
28	0.1580019809
29	0.1505880785
30	0.1435387797
31	0.1387504452
32	0.1343166097
33	0.1301176741
34	0.1253277459
35	0.1213237006
36	0.1182687533
37	0.1133619632
38	0.1092198988
39	0.1067285175
40	0.1046670539
41	0.101295527
42	0.0982550491
43	0.09526707319
44	0.09302535474
45	0.09109386753
46	0.08922975499
47	0.08715777726
48	0.08614866409
49	0.08458074652
50	0.08252536584
51	0.08027496801
52	0.07856055728
53	0.0772180883
54	0.07551579793
55	0.07428450819
56	0.07314254374
57	0.07206975352
58	0.07090811425
59	0.06989745635
60	0.06846202241
61	0.06763456099
62	0.066209195
63	0.06524982239
64	0.06457339114
65	0.06343607333
66	0.06254660506
67	0.06134487429
68	0.0607194149
69	0.06006164393
70	0.05944668009
71	0.05888169212
72	0.05793857829
73	0.05742188273
74	0.05650110714
75	0.0555042219
76	0.05486652527
77	0.05422832465
78	0.05359375654
79	0.05310591101
80	0.05284562485
81	0.05257838746
82	0.05218150555
83	0.05145005185
84	0.05083035054
85	0.05046113525
86	0.04995843862
87	0.04966459617
88	0.04918833773
89	0.0485460521
90	0.04809459649
91	0.04748315978
92	0.04732103038
93	0.04673235113
94	0.04628503254
95	0.04607068755
96	0.04579719864
97	0.04523539968
98	0.04500639529
99	0.04488129542
100	0.04471368377
101	0.04442818698
102	0.04406722726
103	0.04368008883
104	0.0434759106
105	0.04337643625
106	0.04298754576
107	0.04263914152
108	0.04208706489
109	0.04196379505
110	0.04174428509
111	0.04132759905
112	0.04084150721
113	0.04055670946
114	0.04042873628
115	0.04006226704
116	0.03966105183
117	0.03941358947
118	0.03913670118
119	0.03861594208
120	0.03835450027
121	0.03802632853
122	0.03775077011
123	0.0375952436
124	0.03734598638
125	0.03718065661
126	0.03705820523
127	0.03691514602
128	0.03676278451
129	0.03655273452
130	0.03633725866
131	0.03606797276
132	0.03579199821
133	0.03563939837
134	0.03538988544
135	0.03520347208
136	0.03508721926
137	0.03473272392
138	0.03461701324
139	0.03426468501
140	0.03413322988
141	0.03394498801
142	0.03383300573
143	0.03351383622
144	0.03339335543
145	0.03304995271
146	0.032893874
147	0.03276792601
148	0.03267438655
149	0.03257368026
150	0.03226015817
151	0.03212535172
152	0.03186691793
153	0.03169819841
154	0.03161195939
155	0.03130462726
156	0.03111911131
157	0.03096930572
158	0.03080225862
159	0.03060594455
160	0.03048669647
161	0.03035685543
162	0.03020748545
163	0.02997873022
164	0.0298322376
165	0.02974263377
166	0.02958874603
167	0.02937800609
168	0.02930687776
169	0.02913100146
170	0.02887152386
171	0.02882171713
172	0.0285705636
173	0.02835856357
174	0.02815510923
175	0.02809533951
176	0.02788165299
177	0.02772825524
178	0.02761693024
179	0.0273871931
180	0.02731555974
181	0.02725329167
182	0.02714936806
183	0.02704427294
184	0.02691223553
185	0.02684461512
186	0.02671717905
187	0.02655794173
188	0.026446899
189	0.02625758134
190	0.02621041153
191	0.02607567757
192	0.02587821185
193	0.02583483709
194	0.0256961002
195	0.02559431406
196	0.02550961159
197	0.02542792602
198	0.02524895329
199	0.02520627065
200	0.02514914542
201	0.02506542298
202	0.02497602594
203	0.02485780073
204	0.024771028
205	0.02465535915
206	0.02460076878
207	0.02449215748
208	0.02445481814
209	0.02438691562
210	0.02426606681
211	0.02420326109
212	0.02413808227
213	0.0239883527
214	0.02393604015
215	0.02382866982
216	0.02371118765
217	0.02361014324
218	0.02353696803
219	0.02348723526
220	0.02345307477
221	0.02334483869
222	0.02330645846
223	0.02324307272
224	0.02314140826
225	0.02301104423
226	0.02293780149
227	0.02277064342
228	0.02268211955
229	0.02253201453
230	0.02244545563
231	0.0223555797
232	0.02221612774
233	0.02212975253
234	0.02205196585
235	0.02202317264
236	0.02196949445
237	0.02189758191
238	0.02181838485
239	0.0217527036
240	0.02167593163
241	0.0216452237
242	0.02160305746
243	0.02154217418
244	0.02147464531
245	0.02132111912
246	0.02128054153
247	0.02120762581
248	0.0211098802
249	0.02105212274
250	0.02099668995
251	0.02094286448
252	0.02084774399
253	0.02075334755
254	0.0206499393
255	0.02061323766
256	0.02057075966
257	0.02050259862
258	0.02039258634
259	0.02031817237
260	0.02017619479
261	0.02014147706
262	0.020089304
263	0.02005350026
264	0.01998157706
265	0.01994909813
266	0.01992102177
267	0.01983035502
268	0.01979602626
269	0.01970172894
270	0.01966486872
271	0.01962953283
272	0.01956865144
273	0.01952890618
274	0.01943602936
275	0.01935044101
276	0.019255564
277	0.01920851278
278	0.01908353616
279	0.01900107298
280	0.01896104658
281	0.01882447215
282	0.0187738074
283	0.01868110876
284	0.01860252098
285	0.01855644979
286	0.01852301914
287	0.01839958887
288	0.01836891568
289	0.0183031866
290	0.01827295925
291	0.01825260329
292	0.01819848387
293	0.01812534561
294	0.01811285873
295	0.01808965429
296	0.018026704
297	0.01796663101
298	0.01792654341
299	0.01790026408
300	0.01783316887
301	0.01781028669
302	0.0177571065
303	0.01773679209
304	0.0177046542
305	0.01764239051
306	0.01760302761
307	0.01756494059
308	0.0174989195
309	0.0174595151
310	0.01738529087
311	0.01731672891
312	0.01729684902
313	0.017234129
314	0.01720053874
315	0.01717344938
316	0.01715673817
317	0.01714257876
318	0.01711166372
319	0.01705680315
320	0.01694895084
321	0.01687696564
322	0.0168222577
323	0.01680686376
324	0.01675890258
325	0.01664660914
326	0.01660300886
327	0.01658357573
328	0.016535503
329	0.01645816524
330	0.01644319727
331	0.01638260032
332	0.0162980461
333	0.01627234537
334	0.01623048948
335	0.0161977489
336	0.0161618542
337	0.01613189565
338	0.01611338048
339	0.0160411373
340	0.01601316135
341	0.01595956038
342	0.01594718615
343	0.01589605263
344	0.01587692741
345	0.01574898345
346	0.01572261976
347	0.01569409112
348	0.01564995742
349	0.01563203893
350	0.01552353362
351	0.01549105269
352	0.01547113136
353	0.015454631
354	0.01540397378
355	0.01537823837
356	0.01529742434
357	0.01525917046
358	0.01523363232
359	0.01516835546
360	0.01509297169
361	0.01507321489
362	0.01505606023
363	0.01504439408
364	0.01494321982
365	0.01487384632
366	0.01482566824
367	0.01473405474
368	0.01468640284
369	0.01466638975
370	0.01456922134
371	0.01450883529
372	0.01449159232
373	0.01446231605
374	0.01440431776
375	0.01437046557
376	0.01430509045
377	0.01424632694
378	0.01418403582
379	0.01416803405
380	0.01412467433
381	0.01404109067
382	0.01402802031
383	0.01400873959
384	0.01399085439
385	0.01397473866
386	0.01394880923
387	0.01390099241
388	0.01386724833
389	0.01381566177
390	0.01374019105
391	0.01372184345
392	0.01367205198
393	0.01360197899
394	0.01354962733
395	0.0134600717
396	0.01344551397
397	0.01343272961
398	0.01340951755
399	0.01334423929
400	0.01329090105
401	0.01320503557
402	0.01318670193
403	0.01317214771
404	0.01314693345
405	0.01307001009
406	0.01302922782
407	0.01295486309
408	0.01292734304
409	0.01290230809
410	0.01289291868
411	0.01281079837
412	0.01278412379
413	0.01269238152
414	0.01268156625
415	0.0126686786
416	0.01265031477
417	0.01261909879
418	0.01260819273
419	0.01258544468
420	0.01257256819
421	0.0125025775
422	0.01247919911
423	0.0124711301
424	0.01245373661
425	0.01243161793
426	0.01236869501
427	0.01234925468
428	0.01228372547
429	0.0122674964
430	0.01218989839
431	0.01215966898
432	0.01213975804
433	0.01212617941
434	0.01211849039
435	0.01210188387
436	0.0120677889
437	0.01201698813
438	0.01194815715
439	0.01193854693
440	0.01189778685
441	0.0118775042
442	0.01181359823
443	0.01180262616
444	0.01178096067
445	0.01176653024
446	0.01170679071
447	0.01168383165
448	0.01167478695
449	0.01165688085
450	0.01164553026
451	0.01163307871
452	0.01162843597
453	0.01162155768
454	0.01160227415
455	0.01154017981
456	0.01148883809
457	0.01148208067
458	0.01146778021
459	0.01145685597
460	0.01143573641
461	0.01142456371
462	0.01140319645
463	0.01136145705
464	0.01132053595
465	0.01128099953
466	0.01127699827
467	0.01123646847
